X,Y,H,E,S2P,phase_angle,HE
71227.71,27218.068,12.751568,110.2628,977.967,-0.65683436,0.11564705
71227.71,27217.545,3.9217527,39.323517,382.6165,0.32537556,0.09973047
71227.71,27217.068,4.051533,45.505627,516.41925,0.077839576,0.08903368
71227.71,27216.545,5.828732,77.750626,1091.7512,1.3151064,0.07496701
71227.71,27216.068,5.7873583,75.42839,1035.8754,3.140427,0.076726526
71227.71,27215.068,5.7343607,65.7229,792.7994,-0.23887053,0.087250575
71227.71,27214.068,1.1986085,37.172028,858.86786,-0.07096308,0.032244906
71227.71,27213.068,4.512725,67.42939,1045.2736,3.6554625,0.06692519
71227.234,27212.545,8.417394,80.95236,990.04785,-0.34577322,0.103979595
71227.234,27213.068,3.638736,36.263256,444.22916,0.14486945,0.10034223
71227.234,27213.545,8.249154,112.77805,1978.4761,4.0241632,0.07314503
71227.234,27214.068,2.6926289,29.267351,624.3045,11.69772,0.09200111
71227.234,27214.545,3.0005481,36.974148,706.01306,7.46185,0.081152596
71227.234,27215.068,9.396154,98.532974,1299.0538,0.2756841,0.09536051
71227.234,27215.545,7.870079,121.10829,2428.7922,9.115844,0.064983815
71227.234,27217.068,2.8392508,35.76524,797.1706,3.317321,0.079385765
71227.234,27218.545,4.084689,69.737495,2018.0621,-0.03753553,0.058572352
71227.234,27219.068,5.7998376,73.234276,1239.9509,0.053407364,0.07919567
71227.234,27219.545,3.208896,48.989216,1453.5656,9.78709,0.065502085
71227.234,27220.068,5.128454,99.63065,3035.5383,1.7807053,0.05147466
71227.234,27220.545,9.90282,101.08737,1291.7985,3.3889692,0.097962976
71227.234,27221.545,8.959825,93.762375,1239.5094,-0.026678625,0.09555885
71227.234,27222.068,9.672946,88.640915,1027.2897,-0.02545799,0.10912507
71227.234,27222.545,5.1724257,57.947186,849.4167,0.31529838,0.08926103
71227.234,27223.068,9.907526,145.95258,2643.2625,0.9791887,0.067881815
71227.234,27223.545,6.671826,57.43744,634.2976,0.5979773,0.116158135
71227.234,27224.068,3.2968621,32.2818,379.7341,0.37752116,0.10212758
71227.234,27224.545,10.889003,97.724434,1100.8351,0.9790172,0.11142559
71227.234,27225.07,6.3805146,62.712704,789.08887,4.834773,0.10174198
71227.234,27225.545,3.7338223,50.20173,1015.3897,7.308035,0.07437637
71227.234,27226.07,4.9058666,55.27583,816.9755,5.2376103,0.08875247
71227.234,27226.545,2.6488454,28.737778,431.6172,21.927105,0.092172936
71227.234,27227.07,2.5556664,27.03349,431.45758,11.4032755,0.09453706
71226.71,27226.545,0.69246185,10.764907,444.7319,0.66992986,0.064325854
71226.71,27225.07,9.825555,229.07916,5060.0957,1.1479512,0.042891525
71226.71,27224.545,8.350479,147.82413,2954.3828,1.2690377,0.056489285
71226.71,27224.068,4.7173166,64.54121,1294.5466,0.9703871,0.073089994
71226.71,27223.545,5.752849,57.361122,911.4304,1.201772,0.10029178
71226.71,27223.068,7.422373,74.45951,1096.704,-0.039708216,0.099683344
71226.71,27222.545,9.714728,110.70416,1627.8386,0.06763283,0.08775396
71226.71,27222.068,7.0198317,91.59436,1606.2183,2.9007668,0.076640435
71226.71,27221.545,8.59547,72.14492,906.48364,-0.025544154,0.11914173
71226.71,27221.068,9.182272,69.379166,795.5196,-0.5807573,0.13234913
71226.71,27220.545,6.4968786,67.99945,1070.0953,0.033809032,0.0955431
71226.71,27219.545,1.0385014,29.97131,1111.193,1.2160093,0.03464985
71226.71,27218.545,6.4109507,67.77905,1077.3304,0.51742494,0.094586015
71226.71,27218.068,8.687005,66.03409,774.43353,-0.19791003,0.13155334
71226.71,27217.545,5.471038,47.885307,718.66425,-0.0013221483,0.114252955
71226.71,27217.068,2.5299559,29.698814,675.10547,4.1019616,0.0851871
71226.71,27216.068,11.345689,134.61884,1935.0858,0.22735901,0.084280096
71226.71,27215.545,10.406012,165.82234,2919.5874,0.34620234,0.062753975
71226.71,27215.068,20.166695,196.93587,2055.6992,-0.20839165,0.102402344
71226.71,27214.068,0.7036525,18.107174,721.9424,2.6996174,0.038860425
71226.71,27213.545,12.641507,68.139595,546.4899,-0.31686133,0.18552366
71226.71,27212.545,4.9683084,67.53716,1331.3129,5.3979616,0.07356407
71226.234,27212.545,4.6047373,58.32956,763.3918,0.0036317576,0.07894346
71226.234,27213.068,11.751738,153.47823,2135.7295,-0.03920284,0.076569416
71226.234,27213.545,7.405922,112.169975,1886.874,7.844928,0.0660241
71226.234,27214.068,9.309935,91.47679,977.4758,4.7097344,0.10177373
71226.234,27214.545,9.038166,122.114136,1805.503,1.1660863,0.07401408
71226.234,27215.068,6.942473,80.934814,1020.5695,-0.29333857,0.08577857
71226.234,27215.545,5.9132276,72.04821,939.6023,-0.044342488,0.082073204
71226.234,27216.068,3.3711944,40.55891,442.55615,-0.027317954,0.08311846
71226.234,27216.545,6.823696,95.36111,1473.2355,8.567994,0.07155639
71226.234,27217.068,5.3526096,60.155373,697.4471,1.0146227,0.08897974
71226.234,27217.545,9.133019,121.70366,1773.6461,1.7000146,0.0750431
71226.234,27218.068,4.6625376,64.91407,965.92224,-0.42680192,0.0718263
71226.234,27218.545,6.252848,71.888824,881.3799,-0.0030307644,0.08697942
71226.234,27219.068,1.4026812,78.7484,20027.57,1.2878436,0.017812187
71226.234,27219.545,6.467761,91.37066,1427.3875,10.301393,0.07078598
71226.234,27220.068,4.9457364,63.79123,867.95435,3.8419945,0.07753004
71226.234,27220.545,8.961494,104.41371,1329.4337,1.4428982,0.0858268
71226.234,27221.068,12.797449,108.78573,1011.49316,-0.30012438,0.11763904
71226.234,27221.545,8.470349,87.99849,992.1114,-0.44337755,0.09625562
71226.234,27222.068,4.8099256,56.515465,676.41345,-0.08733391,0.08510813
71226.234,27222.545,10.706134,131.89053,1758.6818,0.08883288,0.08117439
71226.234,27223.068,1.2231092,24.168842,877.6359,32.110348,0.05060686
71226.234,27223.545,2.5185564,61.61326,2000.0225,1.0390373,0.040876858
71226.234,27224.068,4.0647407,65.48827,1161.8536,1.2033193,0.06206822
71226.234,27224.545,7.849297,108.79099,1663.2001,7.237522,0.072150245
71226.234,27225.07,5.727898,61.219585,676.77716,0.34286246,0.09356316
71226.234,27225.545,1.2331543,24.747654,910.8021,12.88234,0.04982914
71226.234,27226.07,1.7493984,28.467539,374.08084,1.9102178,0.061452392
71226.234,27226.545,2.958621,72.67102,2316.4653,5.6201577,0.040712528
71226.234,27227.07,6.817827,77.50818,947.9997,-0.15829872,0.08796268
71225.71,27227.07,5.390733,43.301468,634.5241,-0.5759305,0.12449307
71225.71,27226.545,5.949325,71.757744,1322.6864,0.9351329,0.082908474
71225.71,27226.07,2.268349,32.651535,928.7525,0.6784056,0.069471434
71225.71,27225.545,9.102282,68.21795,788.1078,-0.13188893,0.13342942
71225.71,27225.07,10.146213,114.19011,1697.9333,0.68889064,0.08885369
71225.71,27224.545,7.3719177,80.24776,1291.2604,0.0018063744,0.091864474
71225.71,27224.068,7.049353,146.71498,3631.5056,2.8597126,0.048047945
71225.71,27223.545,3.6484501,43.038662,924.18756,4.762063,0.08477146
71225.71,27222.068,5.0398917,73.7387,1617.8119,2.1930816,0.06834798
71225.71,27221.068,8.922368,68.35339,807.9106,-0.11191581,0.13053292
71225.71,27220.545,11.30169,83.05857,881.1739,-0.190954,0.13606893
71225.71,27220.068,1.8577325,26.451641,813.1657,3.6318073,0.070231274
71225.71,27219.545,10.83807,87.0517,999.9648,-0.109393194,0.124501534
71225.71,27219.068,8.344189,102.11675,1709.167,0.377428,0.08171224
71225.71,27218.545,6.6362886,79.21051,1400.9203,7.3413663,0.08378041
71225.71,27218.068,8.476058,79.72966,1109.938,0.20564939,0.10630997
71225.71,27217.545,9.021072,66.79095,766.96844,-0.62559974,0.1350643
71225.71,27217.068,2.1555083,21.474632,540.4318,1.663654,0.10037463
71225.71,27216.545,4.1463747,52.921112,1136.5784,-0.17742644,0.078350104
71225.71,27216.068,9.18381,97.86011,1447.3961,0.13245562,0.09384631
71225.71,27215.545,5.657323,76.15467,1530.218,3.4266827,0.07428727
71225.71,27215.068,7.6604557,82.15379,1292.7548,0.7227943,0.093245305
71225.71,27214.545,1.1728284,43.066467,2218.4233,0.4778624,0.027232984
71225.71,27214.068,2.8351343,27.577637,596.87823,0.29347336,0.102805555
71225.71,27213.545,3.0656204,44.76366,1148.9031,0.10945148,0.06848458
71225.234,27212.545,4.7917485,56.208805,757.4058,-0.17955822,0.085249074
71225.234,27213.068,6.8194714,137.36742,3085.322,-0.034536887,0.049644023
71225.234,27213.545,2.375132,43.570396,859.3017,0.77217066,0.05451252
71225.234,27214.068,5.500172,75.47097,1194.3378,10.824222,0.07287798
71225.234,27214.545,14.011714,146.42764,1710.9255,0.26899222,0.09569036
71225.234,27215.068,7.6272554,86.824,1155.4174,-0.033582263,0.08784732
71225.234,27215.545,3.3637502,47.3383,732.2155,0.24111226,0.07105769
71225.234,27216.068,6.372986,109.68633,2150.843,7.6131415,0.058101915
71225.234,27216.545,6.881174,134.78094,2948.9827,3.6587915,0.051054504
71225.234,27217.068,1.0354728,30.038963,1038.1357,4.652847,0.034470987
71225.234,27217.545,6.9863076,78.84698,1042.529,-0.08582273,0.0886059
71225.234,27218.068,5.9531674,77.846855,1178.0221,0.028879808,0.076472804
71225.234,27218.545,5.7235427,67.03624,913.0206,0.582844,0.08537983
